prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
JAKFSG01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898244,strain: 41-M7,"host: Homo sapiens,isolation_source: intestinal tract",4972018,63,4656,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSH01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898243,strain: 41-M2,"host: Homo sapiens,isolation_source: intestinal tract",4993046,65,4679,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSI01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898242,strain: 54-BF10BF3,"host: Homo sapiens,isolation_source: intestinal tract",5097254,136,4775,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSJ01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898241,strain: 52-BF9BF1,"host: Homo sapiens,isolation_source: intestinal tract",4796656,130,4454,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSK01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898240,strain: 50-BF8BF1,"host: Homo sapiens,isolation_source: intestinal tract",4886108,53,4544,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSL01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898239,strain: 48-BF7ST1,"host: Homo sapiens,isolation_source: intestinal tract",5127423,257,4841,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSM01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898238,strain: 37-BF5BUE1,"host: Homo sapiens,isolation_source: intestinal tract",4958103,362,4672,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSN01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898237,strain: 35-BF4BUE1,"host: Homo sapiens,isolation_source: intestinal tract",5171680,110,4852,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSO01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898236,strain: 25-BF3BP3,"host: Homo sapiens,isolation_source: intestinal tract",4987126,81,4684,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSP01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898235,strain: 24-BF2ST-11,"host: Homo sapiens,isolation_source: intestinal tract",5135140,99,4735,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSQ01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898234,strain: 22-BF1BF-1,"host: Homo sapiens,isolation_source: intestinal tract",5118793,145,4741,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSR01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898233,strain: 95-K1,"host: Homo sapiens,isolation_source: intestinal tract",5219826,194,4794,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSS01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898232,strain: R21-K26,"host: Homo sapiens,isolation_source: intestinal tract",5226429,130,4866,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFST01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898231,strain: R21-K1,"host: Homo sapiens,isolation_source: intestinal tract",4929434,81,4565,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSU01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898230,strain: 86-K1,"host: Homo sapiens,isolation_source: intestinal tract",5090922,550,4987,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSV01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898229,strain: 85-K2,"host: Homo sapiens,isolation_source: intestinal tract",5187107,80,4854,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSW01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898228,strain: R38-K1,"host: Homo sapiens,isolation_source: intestinal tract",4894428,378,4755,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSX01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898227,strain: R37-K1,"host: Homo sapiens,isolation_source: intestinal tract",4953539,89,4581,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSY01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898226,strain: 84-K4,"host: Homo sapiens,isolation_source: intestinal tract",5428092,194,5226,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFSZ01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898225,strain: 82-K5,"host: Homo sapiens,isolation_source: intestinal tract",4892630,146,4574,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFTA01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898224,strain: 105-K1,"host: Homo sapiens,isolation_source: intestinal tract",5388565,286,5160,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFTB01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898223,strain: 79-K10,"host: Homo sapiens,isolation_source: intestinal tract",5064709,129,4734,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFTC01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898222,strain: 81-K1,"host: Homo sapiens,isolation_source: intestinal tract",4962104,360,4771,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFTD01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898221,strain: 80-K2,"host: Homo sapiens,isolation_source: intestinal tract",5121123,173,4919,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
JAKFTE01,WGS,,BCT,Escherichia coli,PRJNA796559,SAMN24898220,strain: 78-K19,"host: Homo sapiens,isolation_source: intestinal tract",4467189,147,4163,Yes,0,0,0,No,,,2022-01-21T00:00:00Z,2022-01-21T00:00:00Z
