prefix_s,project_s,targeted_locus_name_s,div_s,organism_an,bioproject_s,biosample_ss,infra_name_ss,other_src_ss,contigs_total_length_l,contigs_count_l,contigs_proteins_count_l,contigs_annotated_s,scaffolds_count_l,scaffolds_proteins_count_l,scaffolds_total_length_l,scaffolds_annotated_s,scaffolds_range_ss,chromosome_range_ss,update_date_dt,create_date_dt
AAQL01,WGS,,ENV,human gut metagenome,PRJNA16729,SAMN02954263,,isolation_source: healthy human stool sample 8,20494902,12020,0,No,0,0,0,No,,,2014-08-12T00:00:00Z,2006-06-02T00:00:00Z
AAQK01,WGS,,ENV,human gut metagenome,PRJNA16729,SAMN02954262,,isolation_source: healthy human stool sample 7,15938119,10488,0,No,0,0,0,No,,,2014-08-12T00:00:00Z,2006-06-02T00:00:00Z
AJWY01,WGS,,ENV,human gut metagenome,PRJNA88107,SAMN02954257,,"host: Homo sapiens,isolation_source: lean human gut",11889690,14607,20410,Yes,0,0,0,No,,,2014-08-12T00:00:00Z,2012-09-21T00:00:00Z
AJWZ01,WGS,,ENV,human gut metagenome,PRJNA88153,SAMN02954258,,"host: Homo sapiens,isolation_source: obese human gut",10731170,12074,18099,Yes,0,0,0,No,,,2014-08-12T00:00:00Z,2012-09-21T00:00:00Z
ADJS01,WGS,,ENV,human gut metagenome,PRJNA43253,SAMN00007486,,"host: Homo sapiens,isolation_source: feces; sample TS28",89417721,20884,0,No,10525,0,94733406,No,GG753645-GG764169,,2014-08-12T00:00:00Z,2010-03-30T00:00:00Z
ADJT01,WGS,,ENV,human gut metagenome,PRJNA43253,SAMN00007487,,"host: Homo sapiens,isolation_source: feces; sample TS29",53705938,13313,0,No,6029,0,59109271,No,GG764170-GG770198,,2014-08-12T00:00:00Z,2010-03-30T00:00:00Z
CWGO01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735799,,isolation_source: ENVO:feces,4699646,82,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGP01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735915,,isolation_source: ENVO:feces,3298083,91,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGQ01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735795,,isolation_source: ENVO:feces,5150975,87,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGR01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735863,,isolation_source: ENVO:feces,5045029,184,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGS01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735857,,isolation_source: ENVO:feces,4314615,285,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGT01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735911,,isolation_source: ENVO:feces,2507743,88,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGU01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735815,,isolation_source: ENVO:feces,2465752,69,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGV01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735897,,isolation_source: ENVO:feces,2571735,85,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGW01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735747,,isolation_source: ENVO:feces,2387191,40,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGX01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735743,,isolation_source: ENVO:feces,2395227,53,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGY01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735962,,isolation_source: ENVO:feces,2372682,54,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWGZ01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735916,,isolation_source: ENVO:feces,2660978,47,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHA01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735820,,isolation_source: ENVO:feces,5691516,75,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHB01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735853,,isolation_source: ENVO:feces,2225320,28,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHC01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735914,,isolation_source: ENVO:feces,2578917,112,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHD01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735893,,isolation_source: ENVO:feces,2558282,106,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHE01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735855,,isolation_source: ENVO:feces,4429172,197,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHF01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735881,,isolation_source: ENVO:feces,5792206,177,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHG01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735917,,isolation_source: ENVO:feces,4928985,193,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHH01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735738,,isolation_source: ENVO:feces,6508206,240,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHI01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735918,,isolation_source: ENVO:feces,1572008,772,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHJ01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735816,,isolation_source: ENVO:feces,5163922,256,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHK01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735858,,isolation_source: ENVO:feces,2455832,1052,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHL01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735894,,isolation_source: ENVO:feces,3980429,212,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
CWHM01,WGS,,ENV,human gut metagenome,PRJEB9488,SAMEA3735796,,isolation_source: ENVO:feces,3924378,548,0,No,0,0,0,No,,,2016-02-19T00:00:00Z,2016-02-19T00:00:00Z
JABLTK01,WGS,,ENV,human gut metagenome,PRJNA627086,SAMN14651221,isolate: 7016,"host: Homo sapiens,isolation_source: feces",339154645,166819,0,No,0,0,0,No,,,2020-05-22T00:00:00Z,2020-05-22T00:00:00Z
JABLTL01,WGS,,ENV,human gut metagenome,PRJNA627086,SAMN14651223,isolate: 7020,"host: Homo sapiens,isolation_source: feces",430895284,199639,0,No,0,0,0,No,,,2020-05-22T00:00:00Z,2020-05-22T00:00:00Z
JABLTM01,WGS,,ENV,human gut metagenome,PRJNA627086,SAMN14651224,isolate: 8015,"host: Homo sapiens,isolation_source: feces",318293689,137784,0,No,0,0,0,No,,,2020-05-22T00:00:00Z,2020-05-22T00:00:00Z
JABLTN01,WGS,,ENV,human gut metagenome,PRJNA627086,SAMN14651226,isolate: 8016,"host: Homo sapiens,isolation_source: feces",337554685,143591,0,No,0,0,0,No,,,2020-05-22T00:00:00Z,2020-05-22T00:00:00Z
JABLTO01,WGS,,ENV,human gut metagenome,PRJNA627086,SAMN14651225,isolate: 9010,"host: Homo sapiens,isolation_source: feces",617793869,251439,0,No,0,0,0,No,,,2020-05-22T00:00:00Z,2020-05-22T00:00:00Z
